CarCount,BikeCount,BusCount,TruckCount,Total
125,76,26,141,368
106,8,48,104,266
95,113,93,40,341
23,53,11,66,153
86,142,148,106,482
138,25,35,120,318
116,87,10,18,231
50,74,72,131,327
40,142,36,63,281
124,45,93,118,380
66,35,26,4,131
81,54,111,71,317
70,119,112,14,315
89,79,72,69,309
45,56,68,17,186
108,118,67,105,398
8,128,73,50,259
41,51,129,64,285
131,94,46,94,365
94,141,52,4,291
99,121,23,81,324
99,49,81,1,230
135,100,79,123,437
34,63,9,1,107
121,83,32,89,325
100,16,96,132,344
75,71,103,116,365
84,142,137,29,392
12,122,43,34,211
93,49,11,140,293
113,143,46,144,446
130,67,72,19,288
12,47,33,25,117
137,125,104,28,394
59,46,14,27,146
106,139,144,66,455
20,139,123,145,427
5,118,26,64,213
76,35,106,128,345
123,133,84,113,453
20,79,61,116,276
73,42,141,77,333
100,4,45,55,204
111,28,61,87,287
104,135,108,144,491
147,49,112,136,444
89,19,11,40,159
51,25,55,58,189
116,142,106,79,443
88,62,83,35,268
66,129,2,74,271
40,67,7,34,148
113,29,133,14,289
117,87,124,60,388
104,55,113,47,319
3,147,114,38,302
48,123,104,123,398
119,33,15,136,303
83,147,97,59,386
90,95,10,122,317
149,45,77,45,316
85,28,48,126,287
30,26,136,113,305
77,123,148,138,486
83,143,4,48,278
32,28,72,136,268
129,40,147,137,453
110,79,9,83,281
1,141,83,140,365
75,118,111,48,352
75,77,97,8,257
7,74,135,97,313
134,34,107,4,279
76,57,95,63,291
70,69,121,74,334
49,91,106,139,385
133,15,15,62,225
73,2,18,123,216
136,141,32,74,383
113,139,142,148,542
29,129,38,135,331
23,111,93,106,333
41,11,32,112,196
43,88,93,149,373
132,96,42,85,355
106,83,53,11,253
54,107,23,89,273
121,60,131,78,390
52,9,145,84,290
90,83,38,66,277
137,123,120,134,514
95,121,104,110,430
121,67,57,43,288
132,73,112,115,432
52,9,72,123,256
148,132,8,60,348
68,146,143,148,505
79,36,111,143,369
52,113,22,22,209
107,136,14,50,307
89,97,40,100,326
76,92,42,116,326
20,111,36,70,237
41,10,50,43,144
34,117,80,114,345
104,143,146,98,491
4,70,38,108,220
28,116,132,131,407
115,126,149,45,435
11,29,48,122,210
53,8,90,24,175
66,138,132,45,381
111,20,93,71,295
71,125,48,132,376
45,71,24,107,247
120,97,14,130,361
84,53,124,107,368
132,144,76,137,489
83,27,141,95,346
134,103,31,148,416
135,70,85,130,420
26,9,101,37,173
70,37,97,101,305
98,33,31,107,269
53,128,128,50,359
23,44,39,7,113
63,18,10,15,106
31,147,26,17,221
92,82,2,83,259
83,133,138,24,378
4,144,86,150,384
29,71,88,39,227
45,76,2,53,176
130,120,107,140,497
93,90,102,104,389
44,85,113,67,309
149,92,39,87,367
136,109,6,145,396
25,30,22,84,161
66,36,53,87,242
81,5,8,64,158
88,50,59,33,230
124,3,134,12,273
148,136,81,140,505
135,29,106,39,309
144,63,117,87,411
53,95,47,115,310
63,132,113,90,398
43,30,100,62,235
74,96,28,3,201
91,45,89,107,332
88,2,76,139,305
41,4,21,70,136
50,66,28,28,172
95,103,25,86,309
55,95,121,65,336
73,16,47,102,238
19,36,149,142,346
126,10,98,94,328
17,96,136,53,302
110,132,109,64,415
69,37,132,45,283
46,69,122,124,361
55,143,99,144,441
141,141,55,54,391
73,128,93,42,336
133,57,112,104,406
146,26,36,54,262
56,77,9,49,191
35,135,104,23,297
27,150,27,108,312
147,33,129,6,315
59,107,35,132,333
73,79,3,49,204
142,79,95,137,453
106,150,136,52,444
49,77,70,99,295
58,135,1,36,230
43,22,49,74,188
96,24,29,23,172
103,147,11,66,327
2,63,6,134,205
63,78,133,145,419
129,117,49,37,332
113,66,86,122,387
143,62,43,52,300
59,37,117,58,271
143,48,118,17,326
53,119,40,39,251
28,2,4,131,165
51,119,21,97,288
91,39,146,132,408
135,128,53,66,382
45,117,93,77,332
48,19,71,148,286
72,119,133,75,399
34,74,22,51,181
31,8,8,109,156
150,30,13,7,200
2,86,128,37,253
48,104,71,110,333
112,29,96,54,291
8,48,37,118,211
24,145,98,46,313
113,66,133,50,362
132,129,86,74,421
122,41,89,63,315
88,78,97,80,343
92,46,147,108,393
124,28,58,72,282
47,106,121,45,319
50,139,143,11,343
90,105,52,131,378
34,138,35,72,279
114,43,129,9,295
45,75,107,67,294
118,131,11,66,326
64,148,93,73,378
9,41,98,86,234
75,99,40,128,342
73,78,35,28,214
93,78,79,113,363
13,96,98,28,235
21,92,94,67,274
118,127,54,130,429
24,50,128,116,318
125,132,22,78,357
75,38,141,111,365
138,105,29,128,400
128,80,102,45,355
144,70,87,96,397
121,102,41,93,357
47,116,52,140,355
102,108,6,119,335
147,6,68,20,241
26,115,81,117,339
87,68,122,86,363
108,101,36,108,353
123,44,149,137,453
143,147,74,68,432
101,118,53,75,347
39,75,60,31,205
97,23,113,81,314
109,37,2,93,241
15,85,109,70,279
31,106,76,70,283
49,120,36,134,339
63,63,108,126,360
73,121,47,118,359
25,108,143,16,292
20,74,51,70,215
149,112,16,142,419
39,22,102,22,185
68,6,88,68,230
17,147,84,16,264
122,114,66,112,414
97,21,95,46,259
53,92,77,96,318
126,103,66,34,329
76,59,129,35,299
8,21,102,124,255
106,6,78,4,194
61,104,52,24,241
13,89,110,10,222
37,75,70,133,315
21,6,123,141,291
23,25,130,113,291
124,59,45,37,265
135,30,22,138,325
50,135,124,59,368
1,46,107,74,228
118,43,77,32,270
84,80,62,127,353
2,6,29,19,56
86,86,55,58,285
17,10,103,68,198
142,20,9,49,220
77,27,32,58,194
103,22,2,4,131
114,61,122,98,395
124,14,17,52,207
88,120,40,88,336
111,3,64,35,213
130,64,93,136,423
64,102,7,134,307
98,15,107,73,293
74,47,94,73,288
57,136,31,51,275
49,150,42,110,351
148,147,56,48,399
62,1,130,51,244
2,83,124,72,281
124,30,102,129,385
68,130,119,17,334
76,55,75,2,208
8,112,31,112,263
150,113,79,56,398
84,75,119,54,332
105,9,84,28,226
23,97,96,7,223
146,5,17,142,310
44,47,17,38,146
91,109,148,115,463
130,22,13,109,274
2,96,49,141,288
35,5,69,1,110
63,60,22,110,255
150,146,2,18,316
141,88,68,44,341
22,107,31,63,223
106,10,64,111,291
89,26,25,141,281
44,103,50,115,312
127,33,8,37,205
2,142,123,21,288
95,63,84,118,360
88,81,104,5,278
149,47,119,130,445
79,150,19,118,366
40,102,47,52,241
91,101,147,19,358
123,3,58,141,325
84,12,36,79,211
112,98,40,60,310
31,128,70,15,244
123,81,148,128,480
24,140,8,10,182
148,126,92,111,477
140,43,41,125,349
57,148,127,108,440
54,26,107,134,321
52,85,64,40,241
8,91,121,147,367
84,63,62,44,253
91,54,35,105,285
44,104,105,11,264
66,78,119,21,284
107,138,95,148,488
36,68,31,85,220
16,131,72,10,229
26,127,97,93,343
100,80,93,24,297
42,31,6,22,101
97,116,94,53,360
123,41,30,32,226
32,89,87,7,215
141,149,37,11,338
126,134,139,145,544
47,50,110,57,264
32,76,76,147,331
6,99,60,127,292
124,84,22,132,362
17,136,8,14,175
46,88,12,18,164
70,19,66,146,301
92,86,99,84,361
117,71,41,30,259
89,111,50,119,369
75,92,3,108,278
71,94,69,115,349
80,129,4,64,277
11,17,98,78,204
126,91,55,10,282
50,75,105,31,261
141,16,130,132,419
86,109,62,127,384
83,10,79,117,289
83,92,29,42,246
97,128,145,90,460
20,66,18,39,143
92,123,25,121,361
96,81,14,48,239
67,18,146,73,304
63,147,8,15,233
132,62,19,66,279
43,27,50,98,218
120,117,8,146,391
46,43,59,71,219
81,55,71,92,299
109,110,93,46,358
28,1,70,140,239
116,39,38,139,332
135,5,87,117,344
61,140,24,28,253
49,93,127,64,333
149,84,24,12,269
46,147,61,29,283
15,1,121,16,153
141,148,42,35,366
146,70,143,86,445
47,114,88,94,343
135,43,76,11,265
33,22,126,72,253
147,44,36,110,337
19,110,141,86,356
49,139,39,63,290
71,130,40,88,329
47,64,136,131,378
85,92,138,27,342
108,147,21,23,299
120,108,24,83,335
65,15,111,93,284
46,1,23,56,126
60,59,115,76,310
28,72,25,44,169
101,131,66,117,415
52,109,61,76,298
25,45,28,72,170
145,148,95,123,511
8,79,104,15,206
59,61,115,139,374
66,68,28,16,178
111,112,79,26,328
1,38,28,50,117
20,119,44,20,203
120,77,107,59,363
141,1,127,77,346
123,38,30,59,250
81,42,109,105,337
97,132,51,122,402
112,83,56,107,358
31,18,37,120,206
81,140,146,40,407
118,87,89,93,387
33,120,124,33,310
43,106,91,118,358
28,95,83,6,212
138,90,108,51,387
109,74,59,96,338
73,127,45,4,249
117,62,13,49,241
124,22,127,89,362
45,99,12,82,238
58,108,122,18,306
34,85,139,18,276
47,84,86,99,316
136,57,1,51,245
39,84,129,116,368
95,95,133,78,401
99,129,15,107,350
140,115,31,40,326
91,131,16,76,314
9,104,82,34,229
20,61,131,84,296
13,33,43,50,139
70,119,143,119,451
65,22,33,22,142
65,74,45,65,249
97,105,98,17,317
4,81,71,75,231
111,103,59,128,401
9,143,93,134,379
47,108,66,72,293
66,70,68,133,337
127,7,81,56,271
83,64,49,131,327
123,21,70,105,319
133,76,94,7,310
44,95,97,87,323
86,11,103,53,253
44,2,7,21,74
65,51,6,6,128
65,85,11,123,284
74,145,137,88,444
142,5,73,136,356
146,61,122,48,377
19,82,46,18,165
146,53,32,66,297
1,83,109,61,254
23,77,148,19,267
25,129,103,71,328
74,129,139,71,413
115,150,50,97,412
52,2,108,78,240
149,37,83,5,274
58,144,2,5,209
55,82,116,57,310
118,104,37,113,372
33,87,128,91,339
40,118,88,124,370
47,138,41,67,293
3,137,129,85,354
101,114,150,9,374
113,77,80,84,354
68,117,92,145,422
83,78,15,92,268
12,73,81,110,276
71,17,47,118,253
4,76,9,145,234
38,40,40,122,240
149,23,29,8,209
32,29,100,34,195
36,33,77,81,227
72,56,97,123,348
27,36,58,96,217
117,128,132,2,379
23,95,118,50,286
54,38,55,99,246
59,13,129,74,275
108,50,35,135,328
19,47,9,107,182
54,73,47,4,178
130,22,122,51,325
131,39,108,110,388
19,88,117,18,242
76,146,2,57,281
118,106,112,98,434
83,130,56,22,291
131,36,7,137,311
89,116,80,135,420
63,109,84,99,355
9,84,103,71,267
2,25,3,10,40
19,67,48,92,226
118,88,55,23,284
44,113,4,83,244
83,77,28,49,237
119,27,143,17,306
58,95,52,35,240
146,119,61,39,365
59,73,81,81,294
36,69,69,89,263
139,99,106,124,468
100,97,57,92,346
110,26,146,61,343
52,40,94,28,214
72,15,93,39,219
140,55,111,9,315
39,144,144,2,329
150,3,30,12,195
16,93,12,122,243
124,103,145,44,416
97,101,113,4,315
2,53,58,42,155
147,75,132,138,492
104,100,71,6,281
7,100,93,97,297
45,44,55,98,242
40,122,138,138,438
142,116,142,88,488
78,47,76,53,254
4,68,145,80,297
46,55,3,142,246
121,34,49,100,304
11,29,110,1,151
133,119,73,29,354
77,100,5,42,224
1,59,113,102,275
40,127,10,24,201
66,30,69,128,293
120,11,128,56,315
77,139,135,131,482
47,92,15,75,229
142,76,64,22,304
98,117,129,82,426
67,89,61,39,256
124,84,75,149,432
138,70,116,45,369
143,55,71,125,394
51,55,57,78,241
37,98,82,64,281
114,34,87,62,297
147,137,129,21,434
24,115,76,16,231
124,21,149,146,440
20,78,3,136,237
39,95,42,104,280
42,99,38,8,187
141,107,59,34,341
27,136,142,77,382
89,136,148,47,420
142,11,52,129,334
144,129,28,1,302
103,65,75,123,366
8,51,13,91,163
131,137,31,120,419
144,113,89,27,373
121,138,94,111,464
90,131,119,48,388
110,29,30,1,170
144,136,105,40,425
132,31,52,102,317
114,90,28,7,239
35,90,81,24,230
50,124,53,16,243
80,37,13,70,200
70,18,58,15,161
45,144,112,115,416
145,80,61,98,384
149,20,7,26,202
48,43,67,98,256
37,9,8,120,174
145,68,76,111,400
120,29,139,87,375
91,25,73,65,254
73,52,138,2,265
97,71,124,33,325
139,76,47,8,270
21,70,81,97,269
96,35,116,76,323
120,123,52,29,324
86,34,103,76,299
44,63,68,82,257
133,89,83,61,366
42,36,22,43,143
21,34,145,85,285
64,66,38,137,305
96,21,118,34,269
88,106,142,96,432
9,71,101,22,203
96,34,57,80,267
80,20,97,87,284
115,121,50,119,405
126,109,126,52,413
11,132,17,81,241
135,72,48,18,273
110,150,20,32,312
135,122,47,147,451
141,53,18,137,349
105,42,14,72,233
91,59,39,55,244
64,142,128,115,449
91,52,65,5,213
147,134,106,103,490
118,132,89,145,484
94,2,106,107,309
38,27,71,76,212
140,10,9,2,161
93,137,63,40,333
2,74,107,147,330
128,145,14,93,380
11,92,88,59,250
108,84,75,74,341
28,97,21,122,268
132,93,93,9,327
90,114,69,2,275
18,126,29,108,281
28,12,30,130,200
135,96,117,16,364
27,31,39,40,137
104,51,22,1,178
14,143,94,60,311
117,85,115,14,331
72,118,76,135,401
1,128,17,27,173
37,15,68,2,122
99,120,63,54,336
44,49,137,51,281
112,84,108,12,316
120,28,17,51,216
22,38,110,91,261
118,32,59,11,220
32,145,32,77,286
127,133,66,123,449
84,22,24,78,208
129,35,44,98,306
142,144,42,75,403
126,105,93,30,354
49,25,80,16,170
122,148,102,6,378
136,41,40,88,305
140,61,62,27,290
106,57,56,35,254
10,132,73,26,241
53,9,23,141,226
80,130,143,146,499
63,129,95,47,334
44,139,1,106,290
96,12,10,115,233
105,30,123,56,314
129,141,134,127,531
113,101,78,17,309
64,110,9,63,246
64,124,92,53,333
33,37,69,117,256
104,139,102,8,353
34,125,45,16,220
119,126,105,124,474
19,36,114,1,170
59,94,95,53,301
39,44,92,118,293
25,34,110,35,204
5,110,72,9,196
112,29,83,124,348
145,127,72,42,386
119,34,86,98,337
97,51,97,105,350
137,117,88,120,462
84,111,57,111,363
116,21,55,5,197
150,124,14,114,402
51,57,24,90,222
4,121,87,7,219
127,39,143,84,393
67,139,58,63,327
141,58,140,115,454
103,88,126,134,451
26,76,57,88,247
109,7,58,88,262
20,95,36,38,189
134,64,148,58,404
118,118,56,124,416
81,102,36,24,243
121,53,2,99,275
142,144,22,141,449
25,141,113,89,368
73,130,130,23,356
143,24,121,58,346
73,29,55,25,182
5,26,54,115,200
82,23,59,52,216
92,30,19,67,208
88,29,138,120,375
31,99,104,6,240
34,11,35,35,115
122,34,121,145,422
83,16,106,44,249
58,75,115,88,336
50,143,73,121,387
111,107,3,81,302
118,74,135,19,346
142,40,117,95,394
44,71,115,23,253
130,126,82,34,372
8,58,39,147,252
67,132,12,10,221
23,13,1,76,113
48,124,13,41,226
29,48,129,125,331
87,142,135,144,508
78,113,132,128,451
76,67,51,96,290
38,133,41,44,256
77,142,44,35,298
83,13,96,32,224
138,109,70,43,360
86,126,55,10,277
30,8,58,73,169
90,78,62,9,239
114,113,87,1,315
136,33,136,98,403
30,77,63,29,199
24,38,48,31,141
49,125,38,138,350
88,34,107,63,292
31,64,31,121,247
41,40,19,18,118
60,123,78,22,283
83,71,63,12,229
118,116,3,87,324
57,108,32,89,286
38,122,30,86,276
74,64,109,80,327
29,74,7,125,235
31,144,83,19,277
142,17,90,117,366
67,101,89,18,275
14,83,105,81,283
108,110,144,78,440
3,115,120,54,292
29,32,125,12,198
134,28,132,55,349
73,74,138,26,311
46,77,87,97,307
140,110,14,48,312
63,67,139,91,360
24,112,120,101,357
84,96,71,92,343
33,11,59,130,233
24,14,5,76,119
141,48,34,92,315
66,109,99,138,412
2,133,35,113,283
126,17,111,150,404
3,21,32,34,90
39,83,123,111,356
11,3,7,69,90
110,12,45,22,189
69,7,68,57,201
33,70,110,48,261
100,73,87,2,262
93,134,104,99,430
64,100,100,21,285
115,14,110,70,309
66,139,64,7,276
92,91,111,150,444
18,48,36,6,108
76,27,109,27,239
124,88,64,113,389
148,107,17,60,332
128,105,134,38,405
139,32,63,72,306
93,88,30,71,282
106,127,1,117,351
32,138,75,101,346
7,40,115,96,258
103,130,106,24,363
44,33,76,33,186
73,8,127,87,295
69,24,72,110,275
56,101,125,117,399
81,130,41,43,295
40,110,132,57,339
47,52,96,11,206
26,87,54,104,271
68,118,83,78,347
130,136,41,29,336
107,57,71,66,301
84,32,120,127,363
54,38,2,121,215
131,23,31,41,226
17,112,107,123,359
136,3,141,66,346
93,49,113,104,359
29,27,97,60,213
98,25,92,148,363
31,11,113,39,194
74,145,21,91,331
67,10,62,85,224
75,29,111,114,329
148,48,66,21,283
61,101,45,56,263
135,2,73,129,339
115,68,89,19,291
140,139,130,131,540
52,38,3,55,148
49,66,147,62,324
23,63,8,118,212
84,106,62,70,322
122,30,15,104,271
39,2,114,18,173
68,140,123,4,335
80,20,30,90,220
137,135,98,143,513
114,117,148,39,418
88,135,99,91,413
98,51,30,126,305
67,132,46,54,299
21,132,27,20,200
78,125,32,74,309
23,25,110,33,191
71,45,16,148,280
47,131,60,136,374
21,94,30,9,154
109,100,18,22,249
48,140,70,1,259
41,90,115,43,289
91,2,149,136,378
32,56,75,6,169
69,132,82,134,417
3,115,65,30,213
20,2,1,38,61
21,136,105,48,310
108,133,96,128,465
59,60,34,59,212
7,103,99,115,324
30,18,32,25,105
46,28,30,72,176
15,102,45,71,233
116,85,25,12,238
133,106,132,76,447
109,54,134,66,363
9,68,70,117,264
35,111,93,6,245
48,135,138,24,345
26,134,116,90,366
34,21,12,39,106
47,132,110,129,418
59,143,57,77,336
49,140,78,37,304
85,28,83,53,249
110,4,105,62,281
110,106,8,40,264
63,4,148,60,275
149,95,29,55,328
40,117,147,146,450
27,29,50,4,110
33,9,28,84,154
32,8,20,113,173
93,77,77,135,382
124,81,83,83,371
53,59,74,140,326
120,100,128,98,446
134,28,42,43,247
29,97,54,122,302
9,8,120,122,259
73,96,125,36,330
124,67,31,121,343
3,67,45,135,250
139,73,28,93,333
14,81,65,80,240
93,2,103,85,283
36,58,8,14,116
141,4,119,130,394
120,11,60,85,276
46,104,16,24,190
139,117,17,69,342
45,40,41,144,270
103,72,134,65,374
113,6,73,68,260
115,5,67,101,288
75,132,13,80,300
33,8,4,104,149
122,102,74,118,416
118,138,106,50,412
138,137,9,104,388
123,49,82,109,363
90,52,121,117,380
123,7,30,124,284
139,109,23,30,301
74,109,100,122,405
118,118,127,27,390
110,91,84,57,342
127,22,141,10,300
146,144,122,123,535
145,16,74,13,248
50,34,15,131,230
55,18,46,88,207
118,96,46,112,372
147,13,66,59,285
144,106,143,5,398
49,42,19,115,225
92,116,141,25,374
89,32,58,38,217
123,21,48,103,295
145,67,150,61,423
88,12,130,60,290
147,81,7,66,301
14,43,12,86,155
57,87,22,98,264
126,23,90,34,273
45,1,51,59,156
85,36,106,118,345
80,22,92,94,288
100,10,41,84,235
3,60,8,142,213
47,127,102,55,331
84,127,74,11,296
45,2,40,11,98
4,67,25,5,101
82,58,88,107,335
26,72,102,102,302
110,48,66,129,353
128,25,74,59,286
51,32,19,136,238
69,93,67,129,358
84,102,85,79,350
89,144,5,116,354
33,81,59,111,284
104,54,33,35,226
90,34,36,63,223
123,57,89,128,397
140,129,28,105,402
62,88,100,149,399
125,56,81,15,277
12,21,82,24,139
39,32,94,124,289
71,4,13,110,198
122,84,12,50,268
89,60,42,3,194
98,43,114,91,346
108,40,126,74,348
71,28,100,17,216
120,132,120,8,380
122,125,81,34,362
123,101,78,138,440
117,139,94,142,492
141,12,118,58,329
19,55,39,14,127
85,61,53,28,227
136,55,108,92,391
81,133,146,82,442
103,42,58,108,311
82,21,107,148,358
124,25,4,143,296
90,41,50,60,241
103,107,125,66,401
31,85,24,65,205
31,71,91,143,336
121,79,88,51,339
123,46,95,22,286
61,10,30,19,120
63,84,105,6,258
120,60,34,109,323
117,46,3,117,283
62,93,37,47,239
33,120,25,69,247
53,84,55,17,209
109,27,142,28,306
50,13,50,104,217
18,113,147,42,320
131,22,144,144,441
46,122,72,49,289
49,135,105,146,435
39,147,97,124,407
8,19,93,142,262
125,104,14,60,303
34,94,89,133,350
143,65,110,31,349
150,108,54,106,418
72,5,36,53,166
45,48,114,50,257
31,120,146,141,438
49,80,120,94,343
28,76,47,21,172
67,33,46,28,174
1,56,84,106,247
100,72,124,8,304
31,55,6,6,98
38,4,74,18,134
108,2,90,81,281
137,102,72,55,366
9,56,120,149,334
110,50,148,62,370
81,113,138,141,473
52,5,31,9,97
97,68,15,36,216
4,20,137,122,283
56,90,136,61,343
63,127,86,125,401
85,46,60,52,243
119,131,91,18,359
41,143,23,114,321
137,27,103,131,398
76,13,15,122,226
109,46,2,32,189
15,29,106,114,264
147,76,52,31,306
77,69,29,91,266
123,35,12,30,200
32,129,129,81,371
91,88,4,99,282
89,97,53,16,255
149,124,60,26,359
23,73,149,125,370
8,141,82,7,238
130,80,148,52,410
2,34,3,149,188
61,135,32,134,362
71,96,85,95,347
42,84,47,121,294
112,66,95,102,375
127,30,88,41,286
27,124,11,137,299
117,136,60,122,435
86,4,114,4,208
138,45,30,150,363
42,112,30,95,279
80,84,21,45,230
1,144,145,74,364
91,75,49,54,269
116,69,99,42,326
138,133,67,12,350
112,122,41,138,413
43,122,91,110,366
96,22,107,111,336
136,32,3,19,190
1,2,130,137,270
86,78,15,57,236
106,47,111,37,301
129,108,55,73,365
68,105,5,64,242
27,27,126,107,287
103,12,106,17,238
139,52,10,93,294
104,20,34,38,196
90,38,2,86,216
147,81,149,150,527
39,98,84,149,370
63,78,142,132,415
28,58,76,90,252
1,21,95,47,164
89,145,45,91,370
33,78,123,114,348
25,99,95,4,223
76,58,58,94,286
95,64,92,33,284
119,7,55,71,252
103,135,99,114,451
59,96,105,115,375
142,11,111,146,410
69,143,85,7,304
62,116,103,124,405
50,9,134,115,308
114,15,149,50,328
50,19,92,144,305
34,81,55,11,181
135,135,31,135,436
87,110,118,100,415
51,69,29,120,269
130,88,149,150,517
128,68,23,18,237
4,39,82,146,271
142,110,46,112,410
79,128,121,81,409
119,59,64,114,356
6,38,106,90,240
21,44,37,52,154
142,150,60,44,396
100,67,112,130,409
61,132,78,11,282
44,25,72,129,270
37,14,7,104,162
109,44,2,19,174
105,99,73,87,364
46,112,61,27,246
39,3,47,68,157
34,56,108,84,282
125,63,148,70,406
7,123,112,68,310
106,66,74,43,289
61,141,86,128,416
103,142,91,38,374
58,70,76,121,325
84,116,116,93,409
18,5,135,110,268
122,129,107,25,383
39,79,76,142,336
66,51,34,4,155
22,104,13,84,223
127,67,103,82,379
69,110,57,138,374
63,123,9,74,269
119,144,48,3,314
134,112,109,8,363
16,127,9,86,238
69,149,84,4,306
67,20,56,113,256
97,27,132,33,289
25,138,108,81,352
127,72,20,13,232
108,50,145,19,322
73,103,76,145,397
84,130,124,122,460
9,144,128,93,374
3,79,117,130,329
56,20,51,93,220
49,71,86,15,221
126,91,44,30,291
128,29,29,145,331
60,11,147,93,311
113,5,122,16,256
107,76,11,75,269
9,126,61,88,284
116,26,113,12,267
134,146,142,130,552
30,45,132,137,344
60,40,41,147,288
13,65,20,18,116
120,124,140,24,408
31,147,67,86,331
137,108,148,78,471
10,34,132,13,189
113,33,84,77,307
149,53,67,118,387
25,143,80,61,309
40,23,54,104,221
92,57,146,111,406
90,76,104,83,353
8,29,102,66,205
72,44,93,139,348
9,77,127,131,344
92,71,109,7,279
123,110,34,118,385
120,20,91,27,258
70,140,87,133,430
67,19,117,111,314
30,61,45,104,240
85,45,35,85,250
31,104,13,67,215
53,134,12,20,219
32,11,91,13,147
93,15,64,92,264
107,94,145,9,355
64,21,78,118,281
51,120,140,24,335
11,51,69,98,229
41,99,112,73,325
101,75,31,83,290
65,100,97,36,298
150,145,108,121,524
104,98,54,8,264
102,72,12,29,215
13,13,21,79,126
31,44,93,45,213
63,50,118,105,336
75,33,28,92,228
20,132,93,24,269
76,108,107,50,341
86,1,48,51,186
53,43,42,35,173
48,37,96,112,293
10,28,52,43,133
13,82,92,148,335
98,19,55,87,259
54,99,121,45,319
64,85,122,85,356
65,110,44,1,220
46,88,82,148,364
135,99,28,150,412
103,95,105,102,405
90,78,118,78,364
47,70,37,111,265
95,26,149,147,417
89,109,43,87,328
116,99,118,142,475
143,139,46,107,435
56,66,70,35,227
86,48,117,148,399
128,144,125,50,447
67,94,45,20,226
64,95,103,135,397
64,149,117,55,385
110,101,42,11,264
123,79,126,37,365
70,79,141,39,329
42,68,145,150,405
70,44,44,33,191
13,84,15,95,207
143,145,127,42,457
58,27,145,43,273
99,43,123,10,275
101,19,32,103,255
44,148,65,129,386
40,48,29,28,145
111,73,135,37,356
29,146,10,37,222
23,66,86,21,196
146,69,101,106,422
113,25,27,11,176
91,116,95,4,306
112,125,11,75,323
110,74,105,103,392
118,140,15,6,279
37,74,59,108,278
90,86,86,102,364
133,72,51,81,337
30,138,80,41,289
111,21,33,124,289
10,118,105,127,360
93,48,12,73,226
136,84,59,13,292
40,97,99,72,308
12,109,132,78,331
44,35,82,126,287
2,68,82,42,194
145,108,29,142,424
89,48,5,60,202
126,104,91,92,413
139,113,72,15,339
44,47,19,96,206
106,5,76,81,268
27,62,8,126,223
108,67,52,22,249
14,5,60,53,132
50,65,77,23,215
107,33,128,99,367
95,43,96,85,319
70,23,143,137,373
67,10,31,103,211
121,113,35,36,305
109,17,9,46,181
23,146,145,100,414
34,131,59,48,272
77,74,81,33,265
119,81,82,40,322
132,124,110,2,368
34,131,36,32,233
14,37,76,140,267
2,58,64,111,235
1,96,63,31,191
36,30,30,24,120
9,143,55,102,309
81,32,25,73,211
11,9,80,88,188
144,39,112,114,409
14,149,34,137,334
115,52,1,30,198
114,146,43,105,408
143,16,123,122,404
108,147,32,114,401
86,120,132,87,425
38,64,126,148,376
148,133,128,51,460
23,103,45,54,225
140,58,61,7,266
51,4,121,26,202
36,15,45,114,210
3,34,33,37,107
70,57,142,7,276
123,73,76,119,391
83,21,2,52,158
111,21,11,33,176
25,117,84,58,284
119,77,35,110,341
138,27,122,84,371
142,136,143,87,508
89,75,13,6,183
87,8,111,110,316
126,58,29,28,241
120,141,114,95,470
45,110,71,106,332
140,7,43,18,208
111,143,70,62,386
134,117,90,23,364
58,109,147,147,461
58,51,80,16,205
132,120,52,142,446
83,72,67,148,370
33,143,62,99,337
88,90,71,68,317
40,20,56,55,171
70,6,18,30,124
134,137,99,103,473
55,46,88,74,263
73,91,121,146,431
37,27,110,49,223
46,132,114,6,298
51,126,8,147,332
4,48,58,96,206
6,136,127,67,336
123,84,2,51,260
70,14,131,148,363
131,3,81,5,220
11,41,143,89,284
116,113,12,123,364
29,40,110,142,321
27,111,78,133,349
9,121,72,125,327
34,120,110,88,352
3,145,143,67,358
124,80,47,7,258
12,37,10,45,104
101,6,85,65,257
103,22,41,13,179
51,65,133,59,308
72,74,98,119,363
67,106,108,115,396
44,43,22,89,198
96,130,103,6,335
19,39,57,147,262
59,66,67,67,259
105,24,90,31,250
146,112,88,22,368
90,39,58,130,317
27,65,79,98,269
132,117,44,40,333
95,121,46,42,304
55,66,50,105,276
114,3,107,121,345
64,79,147,78,368
59,123,39,128,349
68,43,38,113,262
78,5,127,105,315
2,54,42,72,170
121,146,97,61,425
104,57,108,108,377
22,55,62,116,255
43,112,57,90,302
149,117,97,146,509
61,123,132,91,407
81,89,85,105,360
109,9,150,65,333
29,95,92,92,308
85,118,118,105,426
41,50,1,58,150
20,50,121,96,287
10,149,21,52,232
114,85,26,101,326
25,36,3,47,111
138,7,111,121,377
12,85,87,139,323
119,61,137,87,404
44,140,126,127,437
96,105,118,75,394
86,51,39,84,260
91,147,87,122,447
73,43,132,30,278
8,150,42,12,212
46,120,99,67,332
126,112,40,109,387
97,47,128,116,388
9,148,129,25,311
16,141,146,144,447
108,66,29,69,272
46,98,125,67,336
107,90,35,13,245
65,65,140,68,338
67,55,96,66,284
65,103,131,32,331
123,75,93,21,312
149,94,108,50,401
75,45,59,119,298
110,103,26,90,329
132,66,31,92,321
85,33,37,82,237
37,99,144,20,300
